RecordID,TeamID,ExpertID,Score
1,T000001,EXP0000001,80
2,T000001,EXP0000002,85
3,T000001,EXP0000003,90
4,T000001,EXP0000004,79
5,T000001,EXP0000005,91
6,T000002,EXP0000004,82
7,T000002,EXP0000005,86
8,T000002,EXP0000006,87
9,T000002,EXP0000007,80
10,T000002,EXP0000008,90
11,T000003,EXP0000007,86
12,T000003,EXP0000008,85
13,T000003,EXP0000009,84
14,T000003,EXP0000010,80
15,T000003,EXP0000011,90
16,T000004,EXP0000010,83
17,T000004,EXP0000011,88
18,T000004,EXP0000012,86
19,T000004,EXP0000013,80
20,T000004,EXP0000014,90
21,T000005,EXP0000013,90
22,T000005,EXP0000014,95
23,T000005,EXP0000015,90
24,T000005,EXP0000016,90
25,T000005,EXP0000017,95
26,T000006,EXP0000016,95
27,T000006,EXP0000017,95
28,T000006,EXP0000018,95
29,T000006,EXP0000019,92
30,T000006,EXP0000020,96
31,T000007,EXP0000019,85
32,T000007,EXP0000020,85
33,T000007,EXP0000004,85
34,T000007,EXP0000005,80
35,T000007,EXP0000006,90
36,T000008,EXP0000005,86
37,T000008,EXP0000006,87
38,T000008,EXP0000007,83
39,T000008,EXP0000008,80
40,T000008,EXP0000009,90
41,T000009,EXP0000008,88
42,T000009,EXP0000009,89
43,T000009,EXP0000010,90
44,T000009,EXP0000011,85
45,T000009,EXP0000012,90
46,T000010,EXP0000011,91
47,T000010,EXP0000012,95
48,T000010,EXP0000013,90
49,T000010,EXP0000014,85
50,T000010,EXP0000015,95
51,T000011,EXP0000014,85
52,T000011,EXP0000015,90
53,T000011,EXP0000016,86
54,T000011,EXP0000017,85
55,T000011,EXP0000018,90
56,T000012,EXP0000017,88
57,T000012,EXP0000018,90
58,T000012,EXP0000019,90
59,T000012,EXP0000001,85
60,T000012,EXP0000002,90
61,T000013,EXP0000020,85
62,T000013,EXP0000001,85
63,T000013,EXP0000012,86
64,T000013,EXP0000013,80
65,T000013,EXP0000014,90
66,T000014,EXP0000013,82
67,T000014,EXP0000014,86
68,T000014,EXP0000015,84
69,T000014,EXP0000016,80
70,T000014,EXP0000017,90
71,T000015,EXP0000016,90
72,T000015,EXP0000017,95
73,T000015,EXP0000002,90
74,T000015,EXP0000003,90
75,T000015,EXP0000004,95
76,T000016,EXP0000003,86
77,T000016,EXP0000004,87
78,T000016,EXP0000005,88
79,T000016,EXP0000006,85
80,T000016,EXP0000007,90
81,T000017,EXP0000006,80
82,T000017,EXP0000007,86
83,T000017,EXP0000008,87
84,T000017,EXP0000009,80
85,T000017,EXP0000010,90
86,T000018,EXP0000009,88
87,T000018,EXP0000010,85
88,T000018,EXP0000011,88
89,T000018,EXP0000012,85
90,T000018,EXP0000013,90
91,T000019,EXP0000012,90
92,T000019,EXP0000013,90
93,T000019,EXP0000014,95
94,T000019,EXP0000015,90
95,T000019,EXP0000016,95
96,T000020,EXP0000015,95
97,T000020,EXP0000016,90
98,T000020,EXP0000017,90
99,T000020,EXP0000018,85
100,T000020,EXP0000019,95
